"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"lung-cancer",16,"dropToValue",512,0.01,"cone",0.05,1,1,0.625
"lung-cancer",16,"dropToValue",256,0.01,"rect",0.05,1,1,0.5
"lung-cancer",8,"dropToValue",256,0.01,"rect",0.05,1,1,0.5
"lung-cancer",8,"dropToValue",512,0.01,"rect",0.05,1,1,0.375
"lung-cancer",8,"dropToValue",1024,0.01,"rect",0.05,1,1,0.625
"lung-cancer",8,"dropToValue",512,0.01,"cone",0,1,1,0.375
"lung-cancer",4,"dropToValue",256,0.01,"rect",0.05,1,1,0.5
"lung-cancer",4,"dropToValue",512,0.01,"rect",0.05,1,1,0.5
"lung-cancer",4,"dropToValue",1024,0.01,"rect",0.05,1,1,0.5
"lung-cancer",4,"dropToValue",1024,0.1,"cone",0.05,1,1,0.5
"lung-cancer",2,"dropToValue",256,0.01,"rect",0.05,1,1,0.625
"lung-cancer",2,"dropToValue",512,0.01,"rect",0.05,1,1,0.5
"lung-cancer",2,"dropToValue",1024,0.01,"rect",0.05,1,1,0.375
"lung-cancer",2,"dropToValue",256,0.01,"cone",0,1,1,0.625
"lung-cancer",8,"dropToValue",256,0.1,"cone",0,1,0.975,0.5
"lung-cancer",2,"dropToValue",512,0.01,"cone",0.05,1,0.95,0.5
"lung-cancer",2,"dropToValue",512,0.01,"rect",0,1,0.925,0.375
"lung-cancer",4,"dropToValue",256,0.01,"cone",0.05,1,0.9,0.625
"lung-cancer",8,"dropToValue",1024,0.01,"cone",0.05,1,0.875,0.625
"lung-cancer",2,"dropToValue",1024,0.01,"cone",0,1,0.825,0.625
"lung-cancer",16,"dropToValue",512,0.01,"rect",0.05,1,0.8,0.625
"lung-cancer",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8,0.375
"lung-cancer",4,"dropToValue",512,0.1,"cone",0,1,0.8,0.625
"lung-cancer",8,"dropToValue",1024,0.01,"cone",0,1,0.775,0.375
"lung-cancer",8,"dropToValue",1024,0.01,"rect",0,1,0.775,0.5
"lung-cancer",4,"dropToValue",1024,0.01,"rect",0,1,0.775,0.625
"lung-cancer",2,"dropToValue",1024,0.01,"rect",0,1,0.775,0.5
"lung-cancer",2,"dropToValue",256,0.1,"cone",0.05,1,0.775,0.5
"lung-cancer",2,"dropToValue",1024,0.1,"cone",0,1,0.775,0.75
"lung-cancer",16,"dropToValue",1024,0.01,"cone",0,1,0.75,0.25
"lung-cancer",16,"dropToValue",256,0.01,"rect",0,1,0.75,0.5
"lung-cancer",16,"dropToValue",512,0.1,"cone",0,1,0.75,0.25
"lung-cancer",8,"dropToValue",256,0.01,"rect",0,1,0.75,0.375
"lung-cancer",8,"dropToValue",512,0.01,"rect",0,1,0.75,0.625
"lung-cancer",8,"dropToValue",256,0.1,"cone",0.05,1,0.75,0.625
"lung-cancer",8,"dropToValue",1024,0.1,"cone",0,1,0.75,0.5
"lung-cancer",4,"dropToValue",512,0.01,"cone",0.05,1,0.75,0.5
"lung-cancer",4,"dropToValue",256,0.01,"cone",0,1,0.75,0.375
"lung-cancer",4,"dropToValue",512,0.01,"cone",0,1,0.75,0.5
"lung-cancer",4,"dropToValue",256,0.01,"rect",0,1,0.75,0.5
"lung-cancer",4,"dropToValue",512,0.01,"rect",0,1,0.75,0.75
"lung-cancer",4,"dropToValue",256,0.1,"cone",0.05,1,0.75,0.625
"lung-cancer",4,"dropToValue",512,0.1,"cone",0.05,1,0.75,0.625
"lung-cancer",4,"dropToValue",256,0.1,"cone",0,1,0.75,0.375
"lung-cancer",2,"dropToValue",512,0.01,"cone",0,1,0.75,0.75
"lung-cancer",2,"dropToValue",256,0.01,"rect",0,1,0.75,0.375
"lung-cancer",2,"dropToValue",1024,0.1,"cone",0.05,1,0.75,0.625
"lung-cancer",2,"dropToValue",512,0.1,"cone",0,1,0.75,0.25
"lung-cancer",2,"dropToValue",256,0.1,"rect",0,1,0.75,0.5
"lung-cancer",2,"dropToValue",512,0.1,"rect",0,1,0.75,0.5
"lung-cancer",32,"dropToValue",256,0.01,"rect",0.05,1,0.7,0.375
"lung-cancer",16,"dropToValue",1024,0.1,"cone",0,1,0.7,0.5
"lung-cancer",2,"dropToValue",512,0.1,"cone",0.05,1,0.7,0.375
"lung-cancer",16,"dropToValue",1024,0.01,"rect",0,1,0.675,0.5
"lung-cancer",4,"dropToValue",1024,0.1,"cone",0,1,0.675,0.5
"lung-cancer",3,"dropToValue",512,0.1,"cone",0,1,0.6667,0.625
"lung-cancer",16,"dropToValue",512,0.01,"cone",0,1,0.65,0.375
"lung-cancer",16,"dropToValue",512,0.1,"cone",0.05,1,0.65,0.5
"lung-cancer",4,"dropToValue",1024,0.01,"cone",0.05,1,0.65,0.75
"lung-cancer",32,"dropToValue",512,0.1,"cone",0.05,1,0.6,0.375
"lung-cancer",16,"dropToValue",1024,0.1,"cone",0.05,1,0.6,0.375
"lung-cancer",16,"dropToValue",256,0.1,"cone",0.05,1,0.6,0.5
"lung-cancer",16,"dropToValue",256,0.1,"cone",0,1,0.6,0.5
"lung-cancer",16,"dropToValue",512,0.01,"rect",0,1,0.575,0.375
"lung-cancer",8,"dropToValue",1024,0.1,"cone",0.05,1,0.575,0.625
"lung-cancer",2,"dropToValue",256,0.01,"cone",0.05,1,0.575,0.375
"lung-cancer",8,"dropToValue",512,0.1,"cone",0,1,0.55,0.25
"lung-cancer",8,"dropToValue",256,0.01,"cone",0.05,1,0.525,0.5
"lung-cancer",8,"dropToValue",512,0.1,"cone",0.05,1,0.525,0.5
"lung-cancer",2,"dropToValue",1024,0.01,"cone",0.05,1,0.525,0.625
"lung-cancer",2,"dropToValue",256,0.1,"cone",0,1,0.525,0.625
"lung-cancer",32,"dropToValue",512,0.01,"cone",0,1,0.5,0.625
"lung-cancer",32,"dropToValue",256,0.1,"cone",0.05,1,0.5,0.5
"lung-cancer",32,"dropToValue",256,0.1,"cone",0,1,0.5,0.375
"lung-cancer",16,"dropToValue",256,0.01,"cone",0.05,1,0.5,0.625
"lung-cancer",16,"dropToValue",256,0.01,"cone",0,1,0.5,0.5
"lung-cancer",8,"dropToValue",512,0.01,"cone",0.05,1,0.5,0.625
"lung-cancer",8,"dropToValue",256,0.01,"cone",0,1,0.5,0.5
"lung-cancer",4,"dropToValue",1024,0.01,"cone",0,1,0.5,0.625
"lung-cancer",4,"dropToValue",1024,1,"cone",0,1,0.5,0.5
"lung-cancer",3,"dropToValue",1024,0.1,"cone",0.05,1,0.5,0.75
"lung-cancer",3,"dropToValue",1024,1,"cone",0.05,1,0.5,0.5
"lung-cancer",2,"dropToValue",256,1,"cone",0.05,1,0.5,0.25
"lung-cancer",2,"dropToValue",256,1,"cone",0,1,0.5,0.25
"lung-cancer",32,"dropToValue",1024,0.1,"cone",0,1,0.45,0.25
"lung-cancer",32,"dropToValue",512,1,"cone",0,1,0.45,0.25
"lung-cancer",32,"dropToValue",1024,0.01,"rect",0,1,0.425,0.625
"lung-cancer",8,"dropToValue",1024,1,"cone",0,1,0.4,0.25
"lung-cancer",2,"dropToValue",256,0.1,"rect",0.05,1,0.4,0.375
"lung-cancer",3,"dropToValue",1024,0.1,"cone",0,1,0.3833,0.25
"lung-cancer",3,"dropToValue",512,0.01,"rect",0.05,1,0.3667,0.25
"lung-cancer",3,"dropToValue",1024,0.01,"cone",0,1,0.35,0.5
"lung-cancer",32,"dropToValue",1024,0.1,"cone",0.05,1,0.35,0.5
"lung-cancer",3,"dropToValue",256,0.01,"cone",0.05,1,0.3333,0.75
"lung-cancer",3,"dropToValue",512,0.01,"cone",0.05,1,0.3333,0.375
"lung-cancer",3,"dropToValue",256,0.01,"rect",0.05,1,0.3333,0.625
"lung-cancer",3,"dropToValue",1024,0.01,"rect",0.05,1,0.3333,0.75
"lung-cancer",3,"dropToValue",256,0.01,"cone",0,1,0.3333,0.625
"lung-cancer",3,"dropToValue",256,0.01,"rect",0,1,0.3333,0.625
"lung-cancer",3,"dropToValue",512,0.01,"rect",0,1,0.3333,0.25
"lung-cancer",3,"dropToValue",1024,0.01,"rect",0,1,0.3333,0.625
"lung-cancer",3,"dropToValue",256,0.1,"cone",0.05,1,0.3333,0.5
"lung-cancer",3,"dropToValue",512,0.1,"cone",0.05,1,0.3333,0.25
"lung-cancer",3,"dropToValue",1024,0.01,"cone",0.05,1,0.3333,0.375
"lung-cancer",32,"dropToValue",256,0.01,"cone",0.05,1,0.3,0.25
"lung-cancer",32,"dropToValue",256,0.01,"rect",0,1,0.3,0.5
"lung-cancer",32,"dropToValue",512,0.1,"cone",0,1,0.3,0.625
"lung-cancer",16,"dropToValue",256,1,"cone",0,1,0.3,0.25
"lung-cancer",3,"dropToValue",256,0.1,"rect",0.05,1,0.2833,0.25
"lung-cancer",32,"dropToValue",1024,0.01,"cone",0.05,1,0.275,0.625
"lung-cancer",32,"dropToValue",1024,0.01,"cone",0,1,0.275,0.375
"lung-cancer",2,"dropToValue",1024,0.1,"rect",0,1,0.25,0.125
"lung-cancer",3,"dropToValue",256,0.1,"rect",0,1,0.2333,0.25
"lung-cancer",3,"dropToValue",256,0.1,"cone",0,1,0.2,0.625
"lung-cancer",3,"dropToValue",512,0.1,"rect",0,1,0.2,0.25
"lung-cancer",3,"dropToValue",256,1,"cone",0.05,1,0.2,0.25
"lung-cancer",3,"dropToValue",512,1,"cone",0.05,1,0.2,0.25
"lung-cancer",32,"dropToValue",512,0.01,"rect",0.05,1,0.2,0
"lung-cancer",3,"dropToValue",1024,0.1,"rect",0.05,1,0.1833,0.25
"lung-cancer",3,"dropToValue",256,1,"cone",0,1,0.1833,0.25
"lung-cancer",32,"dropToValue",256,0.01,"cone",0,1,0.175,0.5
"lung-cancer",3,"dropToValue",512,0.01,"cone",0,1,0.1667,0.375
"lung-cancer",3,"dropToValue",512,0.1,"rect",0.05,1,0.1667,0.25
"lung-cancer",3,"dropToValue",1024,0.1,"rect",0,1,0.1667,0.25
"lung-cancer",3,"dropToValue",256,1,"rect",0.05,1,0.1667,0.25
"lung-cancer",3,"dropToValue",512,1,"rect",0.05,1,0.1667,0.25
"lung-cancer",3,"dropToValue",1024,1,"rect",0.05,1,0.1667,0.25
"lung-cancer",3,"dropToValue",512,1,"cone",0,1,0.1667,0.25
"lung-cancer",3,"dropToValue",1024,1,"cone",0,1,0.1667,0.25
"lung-cancer",3,"dropToValue",256,1,"rect",0,1,0.1667,0.25
"lung-cancer",3,"dropToValue",512,1,"rect",0,1,0.1667,0.25
"lung-cancer",3,"dropToValue",1024,1,"rect",0,1,0.1667,0.25
"lung-cancer",32,"dropToValue",256,1,"cone",0.05,1,0.125,0.25
"lung-cancer",16,"dropToValue",1024,0.01,"cone",0.05,1,0.1,0.5
"lung-cancer",16,"dropToValue",512,1,"cone",0.05,1,0.1,0.25
"lung-cancer",4,"dropToValue",512,0.1,"rect",0,1,0.1,0.5
"lung-cancer",4,"dropToValue",256,1,"cone",0.05,1,0.1,0.5
"lung-cancer",2,"dropToValue",1024,0.1,"rect",0.05,1,0.1,0.375
"lung-cancer",2,"dropToValue",512,1,"cone",0.05,1,0.1,0.25
"lung-cancer",32,"dropToValue",512,0.01,"rect",0,1,0.05,0.5
"lung-cancer",8,"dropToValue",256,1,"cone",0.05,1,0.05,0.25
"lung-cancer",8,"dropToValue",512,1,"cone",0.05,1,0.05,0.5
"lung-cancer",4,"dropToValue",1024,0.1,"rect",0,1,0.05,0.5
"lung-cancer",2,"dropToValue",1024,1,"cone",0.05,1,0.05,0.5
"lung-cancer",2,"dropToValue",512,1,"cone",0,1,0.05,0.5
"lung-cancer",2,"dropToValue",1024,1,"cone",0,1,0.05,0.5
"lung-cancer",2,"dropToValue",512,1,"rect",0,1,0.05,0.25
"lung-cancer",32,"dropToValue",512,0.01,"cone",0.05,1,0.025,0.25
"lung-cancer",16,"dropToValue",256,1,"cone",0.05,1,0.025,0.375
"lung-cancer",2,"dropToValue",1024,1,"rect",0,1,0.025,0.25
"lung-cancer",32,"dropToValue",1024,0.01,"rect",0.05,1,0,0.375
"lung-cancer",32,"dropToValue",256,0.1,"rect",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",512,0.1,"rect",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",1024,0.1,"rect",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",256,0.1,"rect",0,1,0,0.25
"lung-cancer",32,"dropToValue",512,0.1,"rect",0,1,0,0.25
"lung-cancer",32,"dropToValue",1024,0.1,"rect",0,1,0,0.25
"lung-cancer",32,"dropToValue",512,1,"cone",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",1024,1,"cone",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",256,1,"rect",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",512,1,"rect",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",1024,1,"rect",0.05,1,0,0.25
"lung-cancer",32,"dropToValue",256,1,"cone",0,1,0,0.25
"lung-cancer",32,"dropToValue",1024,1,"cone",0,1,0,0.25
"lung-cancer",32,"dropToValue",256,1,"rect",0,1,0,0.25
"lung-cancer",32,"dropToValue",512,1,"rect",0,1,0,0.25
"lung-cancer",32,"dropToValue",1024,1,"rect",0,1,0,0.25
"lung-cancer",16,"dropToValue",256,0.1,"rect",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",512,0.1,"rect",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",1024,0.1,"rect",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",256,0.1,"rect",0,1,0,0.25
"lung-cancer",16,"dropToValue",512,0.1,"rect",0,1,0,0.25
"lung-cancer",16,"dropToValue",1024,0.1,"rect",0,1,0,0.25
"lung-cancer",16,"dropToValue",1024,1,"cone",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",256,1,"rect",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",512,1,"rect",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",1024,1,"rect",0.05,1,0,0.25
"lung-cancer",16,"dropToValue",512,1,"cone",0,1,0,0.25
"lung-cancer",16,"dropToValue",1024,1,"cone",0,1,0,0.25
"lung-cancer",16,"dropToValue",256,1,"rect",0,1,0,0.25
"lung-cancer",16,"dropToValue",512,1,"rect",0,1,0,0.25
"lung-cancer",16,"dropToValue",1024,1,"rect",0,1,0,0.25
"lung-cancer",8,"dropToValue",256,0.1,"rect",0.05,1,0,0.25
"lung-cancer",8,"dropToValue",512,0.1,"rect",0.05,1,0,0.25
"lung-cancer",8,"dropToValue",1024,0.1,"rect",0.05,1,0,0.25
"lung-cancer",8,"dropToValue",256,0.1,"rect",0,1,0,0.25
"lung-cancer",8,"dropToValue",512,0.1,"rect",0,1,0,0.25
"lung-cancer",8,"dropToValue",1024,0.1,"rect",0,1,0,0.25
"lung-cancer",8,"dropToValue",1024,1,"cone",0.05,1,0,0.25
